tradeDate,filedDate,ticker,company,sector,side,amountMin,amountMax,description,matchRatio,rowNumber,sourceFile
2026-04-17,2026-07-01,ABT,Abbott Laboratories,Healthcare,BUY,250001,500000,ABBOTT LABS INC COM,0.897,1,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,ADBE,Adobe,Technology,SELL,1000001,5000000,ADOBE INC,1.0,2,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,A,"Agilent Technologies, Inc.",Healthcare,SELL,100001,250000,AGILENT TECHNOLOGIES INC,1.0,3,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,SELL,100001,250000,ALEXANDRIA REAL ESTATE EQUITIES INC,1.0,4,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,ALL,Allstate,Financials,BUY,50001,100000,ALLSTATE CORP COM,0.889,5,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,GOOGL,Alphabet (Class A),Communication Services,SELL,100001,250000,ALPHABET INC CAP STK Cl A,0.919,7,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,MO,Altria,Consumer Staples,BUY,1000001,5000000,ALTRIA GROUP INC,1.0,8,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,AZO,AutoZone,Consumer Discretionary,BUY,250001,500000,AUTOZONE INC,1.0,10,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,WRB,W. R. Berkley,Financials,BUY,250001,500000,BERKLEY WR CORP,1.0,11,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,BRK.B,Berkshire Hathaway,Financials,SELL,1000001,5000000,BERKSHIRE HATHAWAY INCCL B,0.93,12,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,BSX,Boston Scientific,Healthcare,SELL,500001,1000000,BOSTON SCIENTIFIC CORP COM,0.93,13,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,BR,Broadridge Financial Solutions,Industrials,SELL,15001,50000,BROADRIDGE FINL SOLUTIONS INC,1.0,14,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,BRO,Brown & Brown,Financials,BUY,250001,500000,BROWN & BROWN INC,1.0,15,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,CLX,The Clorox Company,Consumer Staples,SELL,100001,250000,CLOROX COMPANY,1.0,16,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,CL,Colgate-Palmolive Company,Consumer Staples,BUY,250001,500000,COLGATE-PALMOLIVE COM,0.973,17,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,CEG,Constellation Energy,Utilities,BUY,100001,250000,CONSTELLATION ENERGY CORP COM,0.939,18,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,CSGP,CoStar Group,Real Estate,BUY,100001,250000,COSTAR GROUP INC,1.0,19,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,ECL,Ecolab,Materials,SELL,250001,500000,ECOLAB INC,1.0,21,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,FIS,Fidelity National Info,Technology,BUY,15001,50000,FIDELITY NATL INFORMATION SVCS INC,1.0,23,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,FISV,Fiserv,Financials,BUY,500001,1000000,FISERV INC,1.0,24,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,GEHC,GE HealthCare Technologies Inc.,Healthcare,SELL,100001,250000,GE HEALTHCARE TECHNOLOGIES INC,1.0,26,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,GPN,Global Payments,Technology,BUY,50001,100000,GLOBAL PMTS INC,1.0,27,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,JKHY,Jack Henry & Associates,Technology,BUY,50001,100000,HENRY JACK & ASSOC INC COM,0.919,29,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,HD,Home Depot,Consumer Discretionary,SELL,1000001,5000000,HOME DEPOT INC COM,0.889,30,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,ICE,Intercontinental Exch,Financials,BUY,50001,100000,INTERCONTINENTALEXCHANGE INC,1.0,31,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,KVUE,Kenvue Inc.,Consumer Staples,BUY,50001,100000,KENVUE INC COM,0.857,32,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,EL,The Estée Lauder Companies Inc.,Consumer Staples,SELL,50001,100000,LAUDER ESTEE COS INC Cl A,0.919,33,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,LII,Lennox International,Industrials,SELL,1000001,5000000,LENNOX INTL INC,1.0,34,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,LULU,Lululemon Athletica,Consumer Discretionary,BUY,15001,50000,LULULEMON ATHLETICA INC,1.0,36,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,MLM,"Martin Marietta Materials, Inc.",Materials,SELL,100001,250000,MARTIN MARIETTA MATLS INC,1.0,39,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,MA,Mastercard,Financials,SELL,1000001,5000000,MASTERCARD INCORPORATED,1.0,40,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,MSFT,Microsoft,Technology,BUY,5000001,5000001,MICROSOFT CORP COM,0.897,43,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,MAA,Mid-America Apartment Communities,Real Estate,BUY,1000,500001,"MID-AMER APT CMNTYS INC n,",0.974,44,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,ORLY,O'Reilly Automotive,Consumer Discretionary,BUY,500001,1000000,0 REILLY AUTOMOTIVE INC,0.95,49,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,OTIS,Otis Worldwide Corporation,Industrials,SELL,100001,250000,OTIS WORLDWIDE CORP,1.0,50,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,PLTR,Palantir,Technology,BUY,1000001,5000000,PALANTIR TECHNOLOGIES INC Cl A,0.939,51,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,PAYX,Paychex,Industrials,SELL,500001,1000000,PAYCHEX INC COM,0.87,52,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,RSG,Republic Services,Industrials,SELL,500001,1000000,REPUBLIC SVCS INC,1.0,53,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,SYK,Stryker,Healthcare,SELL,500001,1000000,STRYKER CORP COM,0.903,56,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,SMCI,Super Micro Computer,Technology,SELL,250001,500000,SUPER MICRO COMPUTER INC COM NEW,0.941,57,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,SNPS,Synopsys,Technology,SELL,1000001,5000000,SYNOPSYS INC COM,0.88,58,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,TSCO,Tractor Supply,Consumer Discretionary,SELL,100001,250000,TRACTOR SUPPLY CO,1.0,60,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,TDG,TransDigm,Industrials,SELL,1000001,5000000,TRANSDIGM GROUP INC,1.0,61,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,TRMB,Trimble,Technology,BUY,15001,50000,TRIMBLE NAV LTD,1.0,62,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,TSN,"Tyson Foods, Inc.",Consumer Staples,BUY,500001,1000000,TYSON FOODS INC N,0.963,63,Donald-J-Trump-06.25.2026-278T.pdf
